stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
6026,,PARTENON IPIRANGA,,-30.055958,-51.169947
4745,,RUBEM BERTA WOLFRAM METZLER,,-30.022685,-51.102503
4746,,RUBEM BERTA WOLFRAM METZLER,,-30.022721,-51.102412
4744,,RUBEM BERTA WOLFRAM METZLER,,-30.024304,-51.102901
4712,,RUBEM BERTA WOLFRAM METZLER,,-30.024772,-51.10455
4713,,RUBEM BERTA WOLFRAM METZLER,,-30.024709,-51.104246
4723,,RUBEM BERTA WOLFRAM METZLER,,-30.023704,-51.10648
4724,,RUBEM BERTA WOLFRAM METZLER,,-30.02372,-51.106372
4728,,RUBEM BERTA WOLFRAM METZLER,,-30.021297,-51.106468
4727,,RUBEM BERTA WOLFRAM METZLER,,-30.022009,-51.106623
5014,,ZONA INDEFINIDA PAULINO,,-29.990332,-51.08926
5922,,ZONA INDEFINIDA PAULINO,,-29.990322,-51.089565
5013,,ZN INDEFINIDA PAULINO,,-29.990241,-51.091228
5012,,RUBEM BERTA PAULINO,,-29.990318,-51.09112
6501,,RUBEM BERTA PAULINO,,-29.99021,-51.093401
4282,,LAMI CHRISPIM ANTONIO AMADO,,-30.221283,-51.113149
1888,,CASCATA CAPITAO PADILHA,,-30.079503,-51.194242
1889,,CASCATA CAPITAO PADILHA,,-30.079544,-51.194173
3980,,HUMAITA CLOVIS PAIM GRIVOT,,-29.977135,-51.183216
